Date,Time,Latitude,Longitude,Remark,MSLP,Wind,,
19.12.1999,1340,72N,18E,,989,45,,
22.01.2000,250,"72,5N",29E,Old Erik,990,42,,
31.01.2000,610,65N,04E,Cirrus on top,978,50,,
08.03.2000,1900,69N,14E,,992,35,,
24.03.2000,1230,72N,21E,Most beautiful,997,35-40,,
01.01.2001,1500,75N,22E,**,,,,
04.02.2001,1540,"62,5N",03W,Pre Mike,,,,
05.02.2001,16,65N,01E,The Mike Low,998,35,,
02.03.2001,6,75N,41E,**,,,,
19.03.2001,6,75N,08E,**,,,,
24.03.2001,730,"74,5N",09E,Marginal,1020,40,,
10.04.2001,650,71N,02E,Baroclinic,1000,58,,
27.10.2001,17,74N,09W,**,,,,
01.11.2001,2,71N,19E,"The Torsvåg case, Cirrus outflow",992,50,,
04.11.2001,19,67N,02E,**,,,,
09.11.2001,17,74N,25E,**,,,,
12.11.2001,7,"67,5N",07E,,990,45,,
31.12.2001,4,73N,38E,Dual **,,,,
12.01.2002,0,73N,21E,,979,35,,
19.01.2002,4,70N,47E,,989,35,,
22.01.2002,11,75N,28E,Dual systems,985,50,,
23.01.2002,6,71N,16E,Multiple,978,35,,
26.01.2002,6,72N,12E,Most beautiful,,,,
19.02.2002,13,74N,34E,Most beautiful,968,55,,
22.02.2002,0,74N,33E,Dual **,,,,
23.02.2002,1140,"67,5N",07E,,958,45,,
01.03.2002,12,68N,10E,The polar storm **,,50,,
,,,,,,,,
09.03.2002,11,70N,05W,**,,,,
20.05.2002,1436,7320N,1530E,Dual systems,1010,35,,
20.12.2002,12,6820N,1100E,,999,30,,
16.01.2003,14,72N,0730E,,,,,
17.01.2003,0,"73,5N","25,5E",Slow moving,985,35,,
23.01.2003,15,73N,10E,Multiple **,995,53,,
29.01.2003,7,"73,5N",0.5E,Reversed shear,997,50,,
11.03.2003,0,72N,"16,5E",Dual,979,45,,
23.03.2003,3,"68,5N","12,5W",Comma in SW,,45,,
24.10.2003,600,"71,5N",18E,Reversed shear,990,45,,
05.12.2003,1320,72N,14E,Reversed shear,990,40,,
08.12.2003,1320,71N,31E,"Reversed, secondary",985,44,,
17.12.2003,1300,72N,38E,,988,45,,
27.12.2003,1200,73N,18E,,,38,,
29.12.2003,1200,69N,13E,**,,54,,
27.01.2004,900,71N,12E,"Multiple, widespr. conv., -50@500hpa",988,45,,
30.01.2004,700,70N,08W,Short lived,**,,,
06.02.2004,1300,71N,12E,**,,,,
21.02.2004,1000,"68,5N",03E,Neutral (no) shear,990,55,,
01.03.2004,1200,70N,"06,5E","Direct shear, fast moving, dual",999,44,,
27.03.2004,1200,68N,05E,"Dual, **",,53,,
15.11.2004,1400,70N,00E,"Dual, neutral, secondary",1002,42,,
16.11.2004,120,69N,15E,"Reversed, secondary",982,44G72,,
16.11.2004,1600,69N,37E,Reversed,987,40,,
18.11.2004,400,74N,45E,Dual **,,,,
23.11.2004,1200,"72,5N",46E,Small **,,,,
10.12.2004,1700,63N,04W,"Secondary, direct shear",1003,50,,
,,,,,,,,
18.12.2004,7,70N,06E,"Secondary, reversed, Radar, Soundings",981,52,,
13.01.2005,1640,68N,07E,"Primary, neutral, poor models",1002,55,,
18.01.2005,18,72N,03W,Large system **,,,,
23.01.2005,1320,67N,13E,,1003,43,,
27.02.2005,5,69N,37E,**,,,,
01.03.2005,15,76N,35E,**,,,,
07.03.2005,7,72N,18E,The Brümmer case,,35,,
15.03.2005,9,64N,04E,"Direct, primary",999,48,,
17.03.2005,140,72N,48E,Direct/neutral,,,,
02.04.2005,9,75N,2430E,"Secondary, strong reversed.",994,70,,
26.04.2005,17,74N,25E,Cirrus shield **,,,,
12.10.2005,12,76N,00E,**,,50,,put time myself
23.11.2005,14,7130N,14E,Double-system/Comma in SW,,44,,
29.11.2005,17,66N,04E,"Sounding LDWR, Radar",,50,,
19.12.2005,03-06,71N,22E,Small (130km),,36,,
29.01.2006,15-21,76N,25E,Shear vorticity (Bear Island-Spitsbergen),,35,,
04.03.2006,18,7430N,1830E,,988,41,,
06.03.2006,5,69N,10E,"Dual, From a CB-cluster",998,30G48,,
22.03.2006,12,67N,00E,"Multiple, widespread conv. Jan Mayen sounding.",1005,40,,put time myself
29.10.2006,12,72N,16E,"Primary, good models",992,38G54,,
08.11.2006,18,63N,07W,"Leelow SE of Island, possible landfall Denmark",998,45G58,,
22.12.2006,12-18,7150N,17E,"Secondary, baroclinic, poor mod.",979,48G61,,
26.12.2006,03-18,7230N,18-22E,"Secondary, inst. Occ., reversed",977,49G63,,
21.01.2007,6,73N,41E,"Primary, Stockman, widespread",993,50,,
22.01.2007,15,76N,04E,"Primary, direct, widespread",,,,
26.01.2007,04-12,7030N,1430E,"Primary, cold, cirrus shield, case",974,51,,
27.01.2007,0,71N,22E,"Primary, cold, cirrus shield",982,51,,
,,,,,,,,
05.02.2007,00-06,6430N,09E,2 small polar lows,994,41,,
13.02.2007,6,7130N,23E,Small PL,1004,40,,
06.04.2007,00-24,7330N,11E,"Strong PL, long life time, baroclinic",986,53,,
29.04.2007,01-05,71N,31E,Baroclinic PL,1001,51,,
03.09.2007,5,64N,07E,Season start !,993,40,,
11.12.2007,1930,71N,31E,,,35,,
25.01.2008,17,6730N,08E,Comma,,35,,
31.01.2008,04-24,74N,11E,Primary,,40,,
14.02.2008,2330,69N,38E,"Primary, Reversed ?",1012,45,,
29.02.2008,1030,74N,24 E,Dual,950,40,,
02.03.2008,21,75/69N,09/10E,"Dual, small",,35,,
04.03.2008,130,71N,03E,The Thorpex Low,990,45,,
16.03.2008,830,7140N,12E,Baroclinic,,35,,
18.03.2008,15,7330N,2830E,"Dual, reversed",,35,,
20.03.2008,7,72N,43 E,,,35,,
04.04.2008,1,72N,01E,"Primary, reversed",,45,,
24.04.2008,12,71N,41E,,,40,,
27.10.2008,21,67N,02W,"Multiple, reversed, NE of Scotland",,50,,
17.11.2008,7,75N,25E,"Reversed, baroclinoc, Convective low",990,35,,
18.11.2008,2,75N,02E,"Leelow SE of Svalbard, baroclinoc",980,40,,
18.11.2008,2030,71N,14E,"Baroclinic, dual, reversed",971,55,,
20.11.2008,6,69N,08E,"Secondary, reversed, baroclinic, good models",967,62G74,,
28.11.2008,9,70N,00E,"Reversed, widespread conv.",988,40,,
29.11.2008,19,73N,01W,"Convergence, baroclinic",1004,35,,
07.01.2009,3,72N,28E,"Multiple, baroclinic, reversed,",972,49G64,,
16.01.2009,12,71N,57E,"Baroclinic, Kara Sea",990,55G66,,
05.02.2009,3,72N,03W,Marginal,1008,33,,
,,,,,,,,
05.02.2009,18,69N,40E,"Small, dual",1010,30,,
07.02.2009,18,72N,43E,Dual,1005,35,,
26.02.2009,18,71N,13E,"Dual, reversed, Baroclinoc",985,45G54,,
27.02.2009,18,7230N,3230E,Baroclinic,1000,30,,
27.03.2009,23,69N,07W,"Baroclinic, convergence",995,35,,
02.04.2009,9,73N,3530E,"Baroclinic, reversed",1008,35,,
04.04.2009,0,75N,29E,"Baroclinic,",996,40,,
05.04.2009,0,72N,43E,"Baroclinic, reversed",990,40,,
05.04.2009,7,73N,25E,Cirrus waves on top !,1008,30,,
20.04.2009,630,70N,39E,Small,1003,30G51,,
08.01.2010,12,8030N,1630E,"Small, N of Spitsbergen, conv.",,30,,
29.01.2010,18,68N,08E,In SE off Scandinavian mainland,,45,,
30.01.2010,18,62N,04E,,977,36,,
02.02.2010,16,61N,02E,"Convective, marginal",990,35,,
16.02.2010,9,71N,04E,No observations,,,,
23.02.2010,18,67N,17W,,1011,55,,
02.03.2010,8,6330N,04E,"Small, dual, U~20, B, Neutral, Florø",1005,39,,
04.03.2010,18,73N,42E,Small,1000,40,,
10.03.2010,16,76N,41E,,985,35,,
12.03.2010,12,72N,19E,Multiple,991,35,,
14.03.2010,12,73N,16E,Widespread conv.,996,37G54,,
19.03.2010,12,7430N,18E,Dual,994,35,,
21.03.2010,3,67N,12E,"Short lifespan, Neutral, U~20",995,39,,
24.03.2010,18,72N,18E,"Comma, later PL",1012,,,
26.03.2010,18,73N,2130E,"Baroclinic, reversed, U~20",1005,35,,
23.04.2010,9,71N,02E,"Baroclinic, reversed, marginal",1005,35,,
31.05.2010,18,7030N,1930E,"One fatality, baroclinic, neutral",1008,40,,
,,,,,,,,
11.10.2010,10,73N,14E,"Baroclinic, season start!",,41,,
19.10.2010,6,73N,06E,"Convergence, reversed, single.",,,,
07.11.2010,12,7140N,1515E,"Small, baroclinic, weakly reversed, single, but troughlike",987,37,,
09.11.2010,9,73N,23E,"Single, baroclinic",1000,45,,
21.11.2010,13,7630N,22E,"Baroclinic, almost synopic",,,,
25.11.2010,2,71N,0430E,Baroclinic ? Tip of occ. Later multiple.,1008,,,
04.12.2010,12,70N,00E,"Multiple, Baroclinic",980,,,
09.12.2010,14,70N,13E,Single,1000,39G47,,
21.12.2010,3,73N,02W,"Convergence, baroclinic",1005,40G53,,
13.01.2011,15,71N,01W,"Single, weakly reversed, poor models",1008,,,
29.01.2011,2,71N,01W,"Single, baroclinic, reversed",988,,,
30.01.2011,0,7430N,30E,"Single, baroclinic, reversed, Hirlam 8 OK",975,,,
06.02.2011,17,64N,12W,"Multiple, baroclinic",975,41,,
10.02.2011,17,7130N,2730E,"Dual, baroclinic",1000,41,,
11.03.2011,6,68N,0030W,"Baroclinic, from a synoptic",975,47,,
12.03.2011,1,64N,04E,Convective low,985,45,,
13.03.2011,8,6530N,0430E,"Single, baroclinic, reversed",1002,39,,
20.03.2011,10,74N,05W,"Single, mainly convective, direct shear",985,35,,
22.03.2011,12,7330N,2330E,"Baroclinic, single, reversed, most beautiful",985,45G66,,
22.03.2011,3,69N,16W,"Multiple, baroclinic, reversed shear, leelow",981,60G82,,
24.03.2011,8,72N,19E,Multiple,989,43G58,,
30.03.2011,0,71N,33E,"Single, marginal",1000,,,
31.03.2011,6,71N,33E,"Baroclinic, direct shear",1000,,,
26.11.2011,22,7030N,01E,"Baroclinic / convective low, reversed shear",973,57G72,,
05.12.2011,3,66N,10W,"Baroclinic, reversed shear, N of CC",975,50G68,,
27.12.2011,12,7130N,07E,,968,41G60,,
06.02.2012,1,7030N,37E,The opposite low,1028,,,
,,,,,,,,
22.02.2012,3,7330N,2130E,"Small, marginal",975,,,
10.03.2012,6,6530N,0430E,"Comma, direct shear",985,45G60,,
18.03.2012,12,6930N,0930W,"Baroclinic, multiple, reversed shear",985,45G56,,put date to middle day
29.03.2012,6,71N,3330E,Small,990,35,,
04.04.2012,0,75N,23E,"Convective low, (Eik/AkerBarents), reversed shear",,,,
14.04.2012,18,7230N,28E,"Small, short lived",1008,37,,
24.10.2012,13,7330N,24E,"Baroclinic, reversed, first tracked case. Multiple.",991,50,,
24.12.2012,6,74N,32E,Dual,989,,,
22.01.2013,0,76N,4130E,Due west of large synoptic,990,,,
01.02.2013,3,6730N,09E,"Small, marginal",977,40,,
23.02.2013,20,7530N,01W,Synoptic/PL,,,,
03.03.2013,23,74N,39E,,,,,
04.03.2013,3,72N,19E,Multiple,998,50,,
04.03.2013,4,75N,08E,,,,,
05.03.2013,12,75N,07E,,1012,,,
06.03.2013,5,73N,2230E,Multiple,996,45,,
07.03.2013,9,70N,34E,Multiple,1000,35,,
11.03.2013,6,7030N,4430E,Dual,,,,
15.03.2013,0,74N,47E,,,,,
18.03.2013,5,73N,20E,Development from synoptic center,1013,50,,
19.03.2013,6,72N,04E,Jan Mayen,,,,
26.03.2013,11,73N,06E,Multiple,1013,,,
27.03.2013,0,72N,11E,Multiple,1005,,,
30.03.2013,12,73N,13E,Multiple,,,,
01.04.2013,1,7230N,04W,"Multiple, traversing centre",999,,,
03.04.2013,4,74N,17E,"Convergence, similar to Thorpex",1010,43,,
05.04.2013,14,6330N,01E,,1004,35G56,,
,,,,,,,,
07.04.2013,10,7130N,1930E,Small Dual,1004,34G40,,
08.04.2013,0,72N,38E,"Multiple, complex",1000,,,
26.10.2013,0,7530N,40E,,983,45,,
20.11.2013,12,7230N,4030E,"Dual, poor models",985,,,Removed ? from pressure
20.11.2013,16,72N,19E,"Synoptic → polar low, dual",984,52G63,,
24.11.2013,0,73N,17E,Synoptic → meso sirk. → polar low,977,41G52(60),,
30.11.2013,1,72N,37E,"PL/Convective Low, multiple",968,40,,
08.12.2013,9,75N,4530E,,986,45,,
24.03.2014,14,73N,13E,Dual,991,65,,
14.04.2014,9,7330N,1330E,PL → Instant occlusion,990,,,
13.05.2014,18,7630N,25E,,975,,,
20.11.2014,11,72N,11E,No 200,985,44,,
24.12.2014,17,74N,16E,"Multiple, complex, PL/convective low, lasting through 28th",989,49,,
29.01.2015,10,73N,45E,Dual,NA,,,
31.01.2015,3,7630N,3930E,"Reversed shear, moving NW, Cirrus waves",NA,,,
01.02.2015,10,76N,33E,,1015,28G32,,
10.02.2015,3,7230N,15E,"Complex, multiple",980,40,,
11.02.2015,3,72N,05E,"PL/Convective low, complex multiple",NA,,,
12.02.2015,13,69N,03E,PL/Comma,980,43G52,,
14.02.2015,3,7130N,34E,,NA,,,
19.03.2015,9,7230N,12E,Reversed,1000,50,,
23.03.2015,4,7630N,01E,Stratus in center. Convergence?,NA,,,
26.10.2015,17,7140N,1515E,"Seasons first, barotropic",1003,50G66,,
,,,,,,,,removed empty case
13.12.2015,1,7330N,28E,"Multiple, direct",NA,NA,,
13.12.2015,17,7230N,2830E,Multiple,NA,NA,,
13.12.2015,20,7030N,1730E,Multiple,991,45G53,,
,,,,,,,,
26.12.2015,12,7230N,25E,,977,59G71,,
11.04.2016,6,7430N,4130E,"Small, baroclinic",NA,NA,,
